Valerie -7308.63 -7344.88 Specifications 69713.8987
Gusella 262.93 2366.57 Feedback 72639.7762
Rodrigo -178.18 -5056.76 Specifications 11443.6907
Barnie 16.26 -2327.69 Metrics 25744.7285
Piotr 6134.43 2167.63 Schedules 28414.1983
Nelli 3246.25 279.32 Schedules 88742.6037
Judas 794.22 -3627.99 Tickets 63140.9504
Lars -1053.82 2171.24 Machines 7123.548
Leonidas -1937.9 8445.55 Customers 90934.3335
Ford -2751.33 -306.34 Suppliers 42545.8868
Shelden 1786.35 162.23 Procedures 93531.6545
Bevvy -3832.22 -5873.16 Metrics 48860.0559
Cristie 3355.13 -7863.93 Marketing 58966.9176
Simona 3667.74 1436.76 Reports 43888.3232
Lorrin -1887.04 -7941.02 Training 35179.7422
Creight -275.53 2405.29 Suppliers 47811.1783
Chrissy -7046.36 -795.09 Tickets 4023.2912
Samantha 2787.11 1384.12 Marketing 66543.0179
Renate 374.44 41.34 Production 87568.1936
Demetris -2978.43 -1859.52 Resources 56552.322
Bibby 3262.16 2460.54 Procedures 77018.9617
Lauritz -881.63 3442.92 Analytics 93001.5678
Andres -4113.09 -5935.4 Budget 35282.6973
Bary 5109.7 -331.12 Customers 40047.414
Rafaelita -3585.47 949.72 Inventory 79849.7393
Conchita 2166.25 -3025.03 Risks 68095.6524
Art 6783.13 3772.26 Delivery 64157.0446
Isis -1166.71 217.55 Customers 36259.9857
Tobi 424.94 -650.59 Agreements 78354.7433
Zuzana 84.01 -394.75 Tickets 39143.0833
Christy 5219.14 -6921.48 Feedback 32701.458
Chance -3327.62 -3690.92 Incidents 13183.22
Aubrey -984.77 -283.45 Specifications 81340.368
Johnnie -1593.93 -5967.49 Resources 68345.3072
Tailor 299.77 305.88 Maintenance 52451.1894
Sherwynd 3486.0 -1217.84 Reports 82733.8442
Elsi 13.33 2109.98 Agreements 84657.7343
Markus 2184.11 5855.95 Requests 91451.7435
Ingrim -4779.92 44.15 Specifications 29089.8958
